trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.2, 'e': 0.11018311023500525}",30,21,13.863701504785404,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.2, 'e': 0.10467395472325498}",20,14,13.43427796464878,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.2, 'e': 0.09944025698709223}",20,11,14.370197019770217,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.2, 'e': 0.09446824413773762}",25,7,29.886853892930976,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.2, 'e': 0.08974483193085074}",20,8,-22.285211901235783,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
48,False,"{'a': 0.2, 'e': 0.0852575903343082}",25,6,24.541495135766688,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.2, 'e': 0.08099471081759278}",25,5,13.157656879910684,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.2, 'e': 0.07694497527671314}",20,7,20.841770212178883,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.2, 'e': 0.07309772651287748}",30,16,9.199121278101602,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.2, 'e': 0.0694428401872336}",25,8,-11.901149531068917,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
53,False,"{'a': 0.2, 'e': 0.0659706981778719}",20,14,9.999889129760593,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.2, 'e': 0.0626721632689783}",25,0,-5.161602544667083,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
55,False,"{'a': 0.2, 'e': 0.059538555105529384}",20,2,28.273665219171015,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.2, 'e': 0.05656162735025291}",25,18,7.861208566393122,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.2, 'e': 0.053733545982740265}",30,22,16.007183217906885,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.2, 'e': 0.05104686868360325}",25,0,-25.03705842465712,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",1
